Decade	Year of Release Date	Title	Genres	Poster Path	Number of Records	Revenue
1950	1950	All About Eve	[{'id': 18, 'name': 'Drama'}]	/6numIZH6uR3NlJgY9m7nGH0jhs.jpg	1	63,463
1950	1950	Annie Get Your Gun	[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]	/a5wCzkq4cPp0CyFmwLrQgnCHl8x.jpg	1	8,000,000
1950	1950	Cinderella	[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}]	/cdf4J7tDhSPAghWWgx9EnwQWBfF.jpg	1	263,591,415
1950	1950	Rashomon	[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]	/mwWJuktWk8z5OY4og0z48Jg4u3n.jpg	1	96,568
1950	1950	Sunset Boulevard	[{'id': 18, 'name': 'Drama'}]	/oFwzvRgfxJc0FUr2mwYTi10dk3G.jpg	1	5,000,000
1950	1950	Wabash Avenue	[{'id': 10402, 'name': 'Music'}]	/oF0Be9mDPPVhiwvym8uFrt5vg1a.jpg	1	2,039,000
1950	1951	A Streetcar Named Desire	[{'id': 18, 'name': 'Drama'}]	/xYaL9SJ7bQ9k1ZG6lVhemPsdzvP.jpg	1	8,000,000
1950	1951	Ace in the Hole	[{'id': 18, 'name': 'Drama'}]	/pkotGgcrakpnUj3fo4841VYLTf9.jpg	1	1,300,000
1950	1951	Alice in Wonderland	[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]	/9gJa2B6M8jt85aDkb0MF98MLZ9T.jpg	1	572,000,000
1950	1951	An American in Paris	[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]	/A71AXLqndeY4Ld7GWYyUpdCsJ6s.jpg	1	4,500,000
1950	1951	Quo Vadis	[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]	/nTNT1V3YR1GdFhAMQGbvJNxPeJZ.jpg	1	30,000,000
1950	1951	Show Boat	[{'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]	/9qxeyQk0Wzw0M4ABIF8hc8nS5D7.jpg	1	11,000,000
1950	1951	Strangers on a Train	[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]	/akslUekHOWvE0UFBVb4GRkxRRoi.jpg	1	7,000,000
1950	1951	The African Queen	[{'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]	/mw1O0JxtDgXt2FHZnUn8w0wrjF1.jpg	1	10,750,000
1950	1951	The Blue Veil	[{'id': 18, 'name': 'Drama'}]	/35BSBX1RPD4ApMJjyycN0QjHahl.jpg	1	3,550,000
1950	1951	Valentino	[]	/3fV6YIqKq05iYb685JiCD7tLs1g.jpg	1	1,550,000
1950	1952	Forbidden Games	[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]	/eh4Zgusn7eidFgIAYUNFo680UUt.jpg	1	10,188
1950	1952	High Noon	[{'id': 37, 'name': 'Western'}]	/teFvLNdppclC01dZodBTyaP3lGK.jpg	1	8,000,000
1950	1952	Ikiru	[{'id': 18, 'name': 'Drama'}]	/1BisQQgyDKSLkdOAfwFiR8GeUod.jpg	1	55,240
1950	1952	Monkey Business	[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]	/uRl8NZlkqX30lpLXpxqp0CKGNJ4.jpg	1	2,000,000
1950	1952	Scaramouche	[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]	/8VJkYT7qr5eLZ1IR5KOSbB1mMVW.jpg	1	6,746,000
1950	1952	Singin' in the Rain	[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]	/d5J53CwrVs6txB8zhE6qS2QhIV.jpg	1	7,200,000
1950	1952	The Greatest Show on Earth	[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/2Zh8VfgVgTIeqwhmmPGkNzesNV.jpg	1	36,000,000
1950	1953	From Here to Eternity	[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/fQXKrHgjHB5SQTRAKxUQa42yVJV.jpg	1	30,500,000
1950	1953	House of Wax	[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]	/xHnnSZVhyXcUZvmTtVZqI4WIMYG.jpg	1	23,800,000
1950	1953	Niagara	[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]	/tPmeDXhF7dNgntoaaxCl6SoMZw3.jpg	1	8,500,000
1950	1953	Peter Pan	[{'id': 16, 'name': 'Animation'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]	/aWLgUzpkVFk8OVcg5jJte5I0Ces.jpg	1	87,404,651
1950	1953	Robot Monster	[{'id': 878, 'name': 'Science Fiction'}]	/lpB3nTnTkKfYF2PkTDVdGt1JCDl.jpg	1	1,000,000
1950	1953	Roman Holiday	[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]	/A0JKLHc5rS3uztYl9GDOMwXl1d3.jpg	1	12,000,000
1950	1953	Shane	[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]	/n8FKqDZV4bmkSf3sVTetgqGwHya.jpg	1	20,000,000
1950	1953	The Beast from 20,000 Fathoms	[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]	/sHH78Wlxs51ApN2dZR9DuBHIw4v.jpg	1	5,000,000
1950	1953	The Robe	[{'id': 18, 'name': 'Drama'}]	/v3Bf2Tfbgdj5fOKbIfQvH7YPlFD.jpg	1	36,000,000
1950	1953	The War of the Worlds	[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]	/kCbFRaaDob0bmRjqafgaDTFpGJJ.jpg	1	2,000,000
1950	1953	Titanic	[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]	/8DMS4zPRF3uH4BZ8OC4GtZ8ewD9.jpg	1	4,905,000
1950	1954	20,000 Leagues Under the Sea	[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]	/pdi0lk5a0Yaq2HAk5v7SAj8oxT7.jpg	1	28,200,000
1950	1954	Creature from the Black Lagoon	[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]	/hQ3k0gAh2Hv2uqrMff0gqxZDJKy.jpg	1	1,300,000
1950	1954	Dial M for Murder	[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]	/xrpK1PyckNWmRxU4kZURfaCyboS.jpg	1	3,000,000
1950	1954	On the Waterfront	[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]	/2AKM5RxGoerG5v1x4TWu36MDxqT.jpg	1	9,600,000
